iter	TotalF1	MultiClass
0	0.9015817349	1.31908562
1	0.8997833017	1.257830995
2	0.9085091944	1.20440435
3	0.9127789721	1.153421425
4	0.911166721	1.107782479
5	0.9146420591	1.064274831
6	0.9096872121	1.027695694
7	0.9126594998	0.9907390893
8	0.9113228388	0.9571216091
9	0.9109475944	0.9257443441
10	0.9115497351	0.8952788156
11	0.9155629785	0.8649391011
12	0.9142190678	0.8394001516
13	0.9142263409	0.8148963181
14	0.9155731386	0.7913138231
15	0.9143535527	0.7684090372
16	0.9157094776	0.7475631392
17	0.9158995145	0.7260633477
18	0.9187384978	0.705876006
19	0.9180981897	0.6871943026
20	0.9186497599	0.6696792743
21	0.9154615042	0.6527697095
22	0.9184254069	0.6364299393
23	0.9189764923	0.6208897246
24	0.9202174535	0.6062904084
25	0.9196644238	0.5926346648
26	0.9198877149	0.5796390909
27	0.9190883664	0.5671849487
28	0.9204408705	0.5554496962
29	0.920875664	0.544567799
30	0.9211116915	0.5335083252
31	0.9216738508	0.523224506
32	0.9222353237	0.5123956248
33	0.9221226514	0.5036740733
34	0.9223470941	0.4957367215
35	0.9226870078	0.4862047052
36	0.9229143068	0.4772437368
37	0.922346711	0.468638117
38	0.9221192677	0.4606484978
39	0.9214516086	0.4524380875
40	0.9208765986	0.4446103928
41	0.9204252354	0.4366250571
42	0.9206549989	0.4295888473
43	0.9206717328	0.4227986638
44	0.9211144535	0.4160400144
45	0.92076682	0.4099671162
46	0.9204473621	0.4035152616
47	0.9202250461	0.398321662
48	0.9206655497	0.3923150056
49	0.9211173124	0.3864946763
50	0.9211055581	0.3807712555
51	0.9216745782	0.3756547671
52	0.9229004771	0.3702486717
53	0.9235659765	0.3656899069
54	0.9261630932	0.3607036686
55	0.9261646596	0.3565397031
56	0.9255969744	0.3519383465
57	0.9284028804	0.347069586
58	0.9276192623	0.3422521704
59	0.929858996	0.3382337672
60	0.9295232953	0.3340676407
61	0.9305245317	0.3299931992
62	0.9308600687	0.3261890841
63	0.9310825975	0.3225227898
64	0.9316386667	0.3190335736
65	0.9314173193	0.3158246158
66	0.9323050225	0.3124260816
67	0.9321860495	0.3091972544
68	0.9333113648	0.3067307788
69	0.9348779421	0.3042042584
70	0.9344306239	0.3011174663
71	0.9358815711	0.2981712741
72	0.9358764799	0.2957413844
73	0.9362056763	0.2928280123
74	0.9373181243	0.2898895955
75	0.9367619507	0.2881504654
76	0.9368745419	0.2857755218
77	0.9367660271	0.2840516626
78	0.9377643376	0.2814067953
79	0.9385411233	0.2794626739
80	0.9384303388	0.2776462901
81	0.9376568749	0.2758653709
82	0.938876144	0.2740527773
83	0.9395386383	0.2722218568
84	0.9396505461	0.2703416322
85	0.9402046702	0.2684029336
86	0.9404223196	0.2672444157
87	0.9402029658	0.265223964
88	0.9403142639	0.2637300377
89	0.9403129682	0.2624362657
90	0.9402010903	0.2609123871
91	0.9401991501	0.2594505161
92	0.9407555196	0.2575556186
93	0.9414161073	0.2558782418
94	0.9417477724	0.2547650969
95	0.9421932835	0.2542696113
96	0.9424167079	0.2530217644
97	0.9423075897	0.2522517882
98	0.9424156026	0.2511573315
99	0.9431968326	0.2495558098
100	0.9431968326	0.2488156937
101	0.9434178243	0.2477272084
102	0.9436395109	0.2470634253
103	0.9433047714	0.2457769957
104	0.9436392263	0.2445553858
105	0.9435261569	0.2433228195
106	0.9443069722	0.2416106436
107	0.9443069807	0.2408676626
108	0.9445304458	0.2401690203
109	0.9447525245	0.2391564123
110	0.9449744764	0.2384029905
111	0.9456406525	0.2378582556
112	0.9457516732	0.2369442916
113	0.9461977164	0.2355463448
114	0.9464223312	0.2346351875
115	0.9465341256	0.2333249276
116	0.9468694347	0.2319930565
117	0.9468694674	0.2312674025
118	0.9468694674	0.2307475052
119	0.9474266336	0.2297987258
120	0.9470914875	0.2285162231
121	0.9470913459	0.2278621744
122	0.9472031502	0.2270975517
123	0.9475382987	0.226508671
124	0.9472031502	0.2252691482
125	0.9474281067	0.2247446849
126	0.9475398784	0.2236569801
127	0.9477618977	0.2231292807
128	0.9476501294	0.2227168932
129	0.9478727626	0.2221344243
130	0.9478718408	0.2215281578
131	0.9479836116	0.2210922024
132	0.9478718408	0.2203312971
133	0.9480953821	0.2198673033
134	0.9483189197	0.2194595894
135	0.9480978855	0.2188729965
136	0.9480964261	0.2184279171
137	0.9483190772	0.218071593
138	0.9483180381	0.2177470641
139	0.9483180381	0.2175168633
140	0.9482080043	0.2165123326
141	0.9483189197	0.2160590999
142	0.9480962288	0.2154904156
143	0.9482071442	0.2151936804
144	0.9485415878	0.2146972443
145	0.9485415878	0.2138894653
146	0.9487631225	0.2133339646
147	0.9486524319	0.2128333093
148	0.9492082693	0.2123439513
149	0.9490963813	0.2120560905
150	0.9489857085	0.2117924293
151	0.9489849274	0.2115309339
152	0.949095728	0.2113542822
153	0.9492076337	0.2111917953
154	0.9488731279	0.2105564253
155	0.9489833272	0.2103870665
156	0.9493178001	0.209797284
157	0.9496526232	0.209309915
158	0.9494302129	0.2079831357
159	0.9496539128	0.2075889104
160	0.9498758563	0.2068704706
161	0.9499881723	0.2058918012
162	0.9502083655	0.2051481368
163	0.950210568	0.204837218
164	0.9504316946	0.2044940979
165	0.9505423259	0.2043540589
166	0.9506540102	0.2039164228
167	0.9506540877	0.2037083387
168	0.9507634303	0.2035190345
169	0.9508751944	0.2032391382
170	0.9508751089	0.2024521075
171	0.9509868788	0.2023220769
172	0.9508751089	0.2018995553
173	0.9508751089	0.2016926206
174	0.9510974247	0.2014875424
175	0.9512092976	0.2007957077
176	0.9510975038	0.200646285
177	0.9513208195	0.2003119381
178	0.9510983445	0.1992746852
179	0.9512090017	0.1989518426
180	0.9514313041	0.1986479619
181	0.9514313041	0.1984864054
182	0.9515430324	0.1982832204
183	0.9514322436	0.197649589
184	0.9516539566	0.1971792065
185	0.9515455636	0.1966100117
186	0.9516539792	0.1963324778
187	0.9517660357	0.195612162
188	0.9517660357	0.1953640449
189	0.9517648118	0.1947766483
190	0.9519874539	0.1945690664
191	0.9520995555	0.1942019245
192	0.9520995555	0.193617882
193	0.9519889308	0.1931610979
194	0.9521003578	0.1925803073
195	0.9521018195	0.1923421832
196	0.952325586	0.1919758819
197	0.952324145	0.1917617996
198	0.952324145	0.191589164
199	0.9525469118	0.1912504322
200	0.9524361107	0.1908737102
201	0.9524362504	0.1906632425
202	0.9525467574	0.1902850847
203	0.952768586	0.1899620635
204	0.95288027	0.1897816511
205	0.9529919495	0.1896000115
206	0.952881947	0.1889115131
207	0.9527702731	0.1886329655
208	0.9527702731	0.1885068838
209	0.9531040639	0.1882191348
210	0.953327047	0.1880902966
211	0.9531040209	0.1878236292
212	0.9528812629	0.1876459379
213	0.9533271389	0.1875515641
214	0.9535522218	0.1871933955
215	0.9536643363	0.1867630152
216	0.9536643797	0.1865915334
217	0.9537754834	0.1861754727
218	0.9538869049	0.18566438
219	0.9538879121	0.1855092064
220	0.9541093348	0.1852967063
221	0.9541093348	0.1851119863
222	0.9542197267	0.1845636141
223	0.9542197267	0.1843738626
224	0.954109136	0.1841364658
225	0.9539975098	0.1839209113
226	0.9539977003	0.1834305528
227	0.9539977003	0.1832657021
228	0.9539977003	0.1829896141
229	0.9542198986	0.1828666834
230	0.9542198986	0.1827074003
231	0.9542198986	0.182502938
232	0.9543315017	0.181928537
233	0.9545536655	0.1817766196
234	0.9544428349	0.1815724473
235	0.9544428349	0.1813260446
236	0.9544428349	0.1810031503
237	0.9545534345	0.1808672095
238	0.9545534345	0.1805721925
239	0.9545534345	0.1803762773
240	0.9545534345	0.1800257803
241	0.9545534345	0.1798337786
242	0.9545536771	0.1796034118
243	0.9545536771	0.1794327346
244	0.9546645076	0.179363612
245	0.9547751566	0.1791505638
246	0.9547751566	0.1787273631
247	0.9548864916	0.1785665472
248	0.9547746975	0.178293242
249	0.9547746975	0.1781084347
250	0.954553472	0.1779200925
251	0.9546640495	0.1777522792
252	0.9547748145	0.1776441286
253	0.9546632388	0.1771630109
254	0.9546632388	0.1770652724
255	0.9546632388	0.1769134064
256	0.954663983	0.1767160926
257	0.9545524083	0.1764895384
258	0.9547746568	0.1761294328
259	0.9546630625	0.1759299438
260	0.9547746568	0.1756927698
261	0.9548868473	0.17551517
262	0.9547746568	0.1752250656
263	0.9551098863	0.175048796
264	0.9552202055	0.1749656952
265	0.9551066343	0.1747733221
266	0.9551066343	0.1740939876
267	0.9551073506	0.1737137834
268	0.9553303938	0.1735408445
269	0.9553303938	0.1733966685
270	0.955218221	0.173276228
271	0.9554425669	0.1730091515
272	0.9555534196	0.172863237
273	0.9554418281	0.1727498475
274	0.9555534196	0.1726434543
275	0.9555534196	0.17244343
276	0.9554418281	0.1722181307
277	0.9555540217	0.1720133542
278	0.9554418281	0.1717733812
279	0.9555540217	0.171540425
280	0.9555540217	0.17139678
281	0.9555540217	0.1713427251
282	0.9555539287	0.1708856813
283	0.9554418281	0.1707017043
284	0.9555545519	0.1701911926
285	0.9556674466	0.1700351201
286	0.9556674466	0.1699287207
287	0.9556674466	0.1695941103
288	0.9557796431	0.1691042015
289	0.9560017449	0.1688201487
290	0.9560017449	0.1684247189
291	0.9561139118	0.1681854886
292	0.9562254972	0.1678733426
293	0.9561139118	0.167790115
294	0.9562253523	0.1673349641
295	0.956336074	0.1671056487
296	0.956336074	0.1668801745
297	0.956336074	0.1667495705
298	0.9563355984	0.1665559364
299	0.9563355984	0.1664391211
300	0.9563343291	0.1662967796
301	0.9564459297	0.1661603463
302	0.9565574931	0.1658600706
303	0.9564471857	0.1655792633
304	0.9565574931	0.1654152844
305	0.9565574931	0.1652980852
306	0.9565574931	0.1652190688
307	0.9565574931	0.1650323614
308	0.9564458914	0.1648501796
309	0.9564458914	0.1647653273
310	0.9567806033	0.1644646017
311	0.9567806033	0.1643467025
312	0.9567799561	0.1642856228
313	0.9567799561	0.1640883626
314	0.9568921852	0.1639489134
315	0.9568921852	0.1638305412
316	0.9570029363	0.1637599496
317	0.9568907288	0.1635133489
318	0.9571132656	0.163384815
319	0.9572248273	0.162945661
320	0.9571132656	0.1628637039
321	0.9571132656	0.1625618842
322	0.9572248189	0.1623557806
323	0.9574492749	0.1621826137
324	0.9574492749	0.1620824044
325	0.9574492749	0.1618062826
326	0.957337684	0.161700127
327	0.9575607606	0.1615661314
328	0.9575607606	0.1611878165
329	0.957782993	0.160884474
330	0.957782993	0.1607539337
331	0.9578945486	0.1604496262
332	0.9580052731	0.1603010322
333	0.9581163769	0.1602240628
334	0.9581163769	0.1600714598
335	0.9581163769	0.1599839419
336	0.9583382166	0.1598380844
337	0.9583382166	0.1596925706
338	0.9583382166	0.1595806662
339	0.9584491594	0.1594687716
340	0.9584491594	0.1593937493
