iter	Passed	Remaining
0	66	66805
1	102	51002
2	122	40608
3	140	34917
4	158	31459
5	175	28993
6	193	27380
7	210	26125
8	228	25139
9	246	24356
10	263	23673
11	289	23810
12	308	23409
13	326	23024
14	347	22803
15	365	22449
16	383	22153
17	400	21865
18	418	21614
19	436	21368
20	464	21657
21	489	21761
22	518	22044
23	537	21856
24	555	21664
25	573	21479
26	590	21296
27	608	21107
28	626	20967
29	643	20820
30	661	20691
31	679	20568
32	700	20527
33	724	20585
34	742	20480
35	761	20378
36	778	20268
37	796	20158
38	814	20060
39	831	19955
40	849	19862
41	866	19766
42	887	19745
43	907	19723
44	936	19878
45	955	19807
46	973	19746
47	991	19666
48	1009	19595
49	1027	19522
50	1045	19458
51	1073	19567
52	1093	19532
53	1115	19539
54	1141	19608
55	1161	19581
56	1179	19514
57	1197	19451
58	1215	19383
59	1233	19327
60	1251	19261
61	1269	19201
62	1286	19140
63	1304	19080
64	1324	19052
65	1350	19116
66	1368	19061
67	1387	19021
68	1407	18986
69	1425	18944
70	1444	18905
71	1465	18894
72	1484	18853
73	1503	18809
74	1521	18769
75	1548	18831
76	1572	18847
77	1590	18802
78	1610	18776
79	1630	18755
80	1651	18735
81	1670	18703
82	1694	18720
83	1728	18848
84	1753	18878
85	1783	18952
86	1810	19003
87	1835	19024
88	1867	19115
89	1894	19158
90	1919	19172
91	1945	19197
92	1978	19291
93	2006	19338
94	2027	19319
95	2049	19300
96	2075	19320
97	2097	19303
98	2122	19313
99	2144	19296
100	2166	19288
101	2187	19259
102	2208	19234
103	2231	19222
104	2249	19177
105	2267	19125
106	2285	19071
107	2303	19024
108	2322	18982
109	2344	18966
110	2363	18928
111	2384	18903
112	2413	18941
113	2456	19088
114	2478	19074
115	2505	19090
116	2527	19078
117	2554	19093
118	2578	19089
119	2605	19105
120	2630	19108
121	2667	19196
122	2689	19175
123	2717	19199
124	2751	19262
125	2770	19220
126	2788	19169
127	2806	19119
128	2827	19088
129	2852	19087
130	2874	19070
131	2894	19030
132	2912	18982
133	2929	18935
134	2947	18886
135	2965	18842
136	2983	18793
137	3000	18742
138	3017	18692
139	3035	18647
140	3053	18603
141	3081	18619
142	3099	18573
143	3116	18524
144	3133	18477
145	3150	18430
146	3169	18389
147	3186	18346
148	3205	18309
149	3223	18267
150	3241	18224
151	3259	18185
152	3282	18171
153	3302	18141
154	3320	18101
155	3343	18091
156	3362	18056
157	3381	18020
158	3399	17981
159	3418	17945
160	3436	17907
161	3458	17889
162	3485	17896
163	3507	17877
164	3524	17836
165	3542	17797
166	3561	17762
167	3578	17724
168	3596	17686
169	3613	17644
170	3631	17607
171	3650	17574
172	3668	17537
173	3688	17509
174	3711	17497
175	3732	17475
176	3755	17460
177	3795	17529
178	3816	17504
179	3834	17467
180	3859	17461
181	3878	17433
182	3900	17414
183	3922	17397
184	3942	17368
185	3960	17332
186	3977	17294
187	3995	17257
188	4014	17225
189	4032	17192
190	4058	17192
191	4078	17162
192	4096	17130
193	4116	17104
194	4140	17091
195	4159	17060
196	4177	17026
197	4194	16989
198	4212	16956
199	4230	16921
200	4247	16885
201	4267	16859
202	4286	16828
203	4305	16797
204	4326	16776
205	4350	16767
206	4368	16733
207	4385	16699
208	4403	16664
209	4420	16628
210	4438	16596
211	4455	16561
212	4472	16526
213	4490	16492
214	4508	16460
215	4526	16428
216	4547	16410
217	4568	16388
218	4589	16366
219	4609	16343
220	4628	16315
221	4646	16284
222	4664	16253
223	4685	16230
224	4703	16202
225	4722	16173
226	4747	16167
227	4766	16137
228	4783	16106
229	4802	16078
230	4821	16052
231	4840	16022
232	4858	15994
233	4875	15961
234	4894	15931
235	4911	15900
236	4929	15870
237	4947	15840
238	4966	15815
239	4985	15787
240	5003	15756
241	5020	15724
242	5037	15693
243	5054	15659
244	5071	15627
245	5088	15597
246	5106	15568
247	5123	15537
248	5141	15506
249	5163	15490
250	5184	15469
251	5202	15441
252	5220	15412
253	5236	15380
254	5254	15350
255	5272	15322
256	5291	15298
257	5312	15277
258	5330	15251
259	5348	15222
260	5367	15198
261	5389	15182
262	5409	15159
263	5428	15133
264	5445	15103
265	5463	15076
266	5481	15048
267	5499	15020
268	5517	14993
269	5534	14963
270	5552	14935
271	5569	14906
272	5588	14883
273	5606	14856
274	5624	14829
275	5642	14801
276	5660	14775
277	5680	14753
278	5698	14726
279	5716	14700
280	5735	14675
281	5756	14655
282	5778	14639
283	5799	14620
284	5816	14593
285	5834	14566
286	5852	14540
287	5871	14516
288	5889	14489
289	5907	14462
290	5925	14436
291	5942	14408
292	5959	14380
293	5976	14351
294	5999	14337
295	6018	14313
296	6036	14287
297	6054	14261
298	6071	14235
299	6089	14207
300	6106	14181
301	6123	14152
302	6140	14124
303	6157	14097
304	6174	14069
305	6191	14041
306	6211	14022
307	6230	13998
308	6249	13975
309	6268	13952
310	6286	13927
311	6304	13901
312	6324	13881
313	6342	13856
314	6360	13832
315	6378	13806
316	6395	13780
317	6413	13755
318	6433	13733
319	6452	13710
320	6470	13686
321	6488	13661
322	6505	13636
323	6523	13609
324	6540	13583
325	6556	13556
326	6573	13529
327	6590	13501
328	6607	13476
329	6631	13464
330	6650	13441
331	6668	13417
332	6690	13401
333	6707	13374
334	6726	13352
335	6744	13328
336	6761	13302
337	6780	13280
338	6797	13254
339	6814	13228
340	6832	13203
341	6853	13185
342	6870	13160
343	6888	13136
344	6906	13112
345	6924	13088
346	6941	13063
347	6958	13037
348	6975	13010
349	6991	12984
350	7009	12960
351	7027	12936
352	7051	12924
353	7069	12900
354	7086	12875
355	7104	12851
356	7121	12827
357	7139	12802
358	7156	12778
359	7173	12753
360	7192	12731
361	7210	12707
362	7226	12681
363	7244	12658
364	7268	12644
365	7285	12620
366	7302	12595
367	7321	12573
368	7339	12550
369	7356	12525
370	7373	12500
371	7390	12475
372	7410	12456
373	7427	12432
374	7445	12408
375	7463	12385
376	7485	12370
377	7503	12346
378	7520	12323
379	7538	12299
380	7556	12276
381	7573	12253
382	7591	12229
383	7609	12206
384	7627	12184
385	7649	12167
386	7667	12145
387	7684	12121
388	7712	12114
389	7730	12091
390	7748	12068
391	7766	12045
392	7784	12022
393	7801	11999
394	7818	11975
395	7836	11952
396	7853	11928
397	7871	11906
398	7888	11882
399	7906	11859
400	7926	11839
401	7943	11816
402	7961	11793
403	7978	11770
404	7995	11746
405	8012	11723
406	8030	11701
407	8048	11677
408	8065	11654
409	8083	11631
410	8099	11607
411	8116	11584
412	8136	11564
413	8155	11543
414	8173	11522
415	8190	11498
416	8210	11478
417	8232	11462
418	8255	11446
419	8285	11441
420	8317	11439
421	8343	11427
422	8373	11422
423	8399	11410
424	8425	11399
425	8454	11391
426	8477	11376
427	8506	11368
428	8532	11356
429	8552	11337
430	8582	11330
431	8602	11310
432	8621	11289
433	8640	11269
434	8660	11248
435	8678	11226
436	8697	11205
437	8715	11182
438	8732	11159
439	8750	11136
440	8777	11126
441	8796	11104
442	8813	11081
443	8830	11058
444	8848	11035
445	8866	11013
446	8883	10989
447	8900	10966
